"Timestamp","Do you currently work in software testing?","Have you previously worked in software testing?","Since leaving testing, do you still work in an Information Technology / Computing based role?","Why did you leave testing?","Were you happy in your most recent testing job?","Would you work in testing again?","Are you happy in your CURRENT testing job?","How likely are you to look for a new testing job within the next 12 months?","How likely are you to look for job outside of testing within the next 12 months?","What do you enjoy about software testing?","What made you apply for your FIRST testing job?","How likely are you to recommend testing as a career to others?","How much testing experience do you have?","Which industries have you tested in?","Did you have a different job before you started testing? ","What is your highest qualification?","Did you study Computing, Computer Science or a computer related subject?","While you were studying did you know you wanted to work in testing?","Have you attended any of the following training courses and if so how were they? [Rapid Software Testing]","Have you attended any of the following training courses and if so how were they? [AST BBST Foundations]","Have you attended any of the following training courses and if so how were they? [AST BBST Bug Advocacy]","Have you attended any of the following training courses and if so how were they? [AST BBST Test Design]","Have you attended any of the following training courses and if so how were they? [ISEB/ISTQB Foundation]","Have you attended any of the following training courses and if so how were they? [ISEB/ISTQB Advanced]","Have you attended any of the following training courses and if so how were they? [ISEB/ISTQB Expert]","In your current (or most recent) testing job, how long did it take you to ""get up to speed""?","Do you believe other testing jobs are better than your current (or most recent) testing job?","Would the thought of having to ""get up to speed"" at a new company put you off applying for another testing job?","The testing expectations placed upon me are achievable.","I feel like part of the team.","I am usually excluded when decisions are made.","Absolutely everyone I work with cares about quality.","There is no automated testing.","My performance is measured using metrics (like total bug count).","I have access to all the tools and resources I require to perform effectively.","I feel my employer values my technical skills.","People don't share important information with me and I am kept in the dark.","I get to work collaboratively with others.","Technical debt is taken seriously and addressed in a timely manner.","I feel there are opportunities for me to progress and take on more responsibility.","In my current workplace I feel people do not appreciate the role testing plays in development.","There are high levels of staff retention and everyone is very loyal to the company.","When I make a decision, I feel my judgment is trusted.","Code frequently breaks in the production environment and need to be fixed or patched.","It is expected that I will work unpaid over-time.","Developers are seen as superior to testers within my organisation","I am forced to sign disclaimers stating software contains no bugs.","My company supports me to attend training courses, workshops or conferences.","I feel like I am making a positive difference.","Management lacks understanding of my role and frequently has unrealistic expectations.","There is not enough time test things to my satisfaction.","I am blamed for missed bugs."
"2016/05/04 9:11:31 AM GMT+1","Yes","","","","","","Yes","Very Likely","Very unlikely","Overcoming challenges;Improving software quality;Learning new things;Thinking critically;Solving problems;Gaining expert knowledge of a product;Helping people","I wanted a new challenge;I wanted to work with technology and computers;I did not like my previous job;I thought testing would be fun","Very Likely","5 - 10 years","Finance","Yes, I had a different job before I started testing","Foundation course","Yes","No","5","0","0","0","2","0","0","1 month","Yes","No","True","True","False","True","True","False","False","True","False","True","False","True","False","False","True","True","False","True","False","False","True","True","True","False"
"2016/05/04 9:12:37 AM GMT+1","Yes","","","","","","Yes","Unlikely","Very unlikely","Improving software quality;Finding defects;Learning new things;Thinking critically;Solving problems;Assessing and managing risks;Working in a team;Gaining expert knowledge of a product;Working on a variety of different tasks","I wanted to work with technology and computers;I thought testing would be fun","Likely","10 - 20 years","Business;Finance;Health","Yes, I had a different job before I started testing","Masters degree","No","No","0","0","0","0","3","0","0","1 month","No","No","True","True","False","True","False","False","True","True","False","True","True","True","False","True","True","False","False","False","False","True","True","False","False","False"
"2016/05/04 9:14:53 AM GMT+1","Yes","","","","","","Yes","Not sure","Unlikely","Overcoming challenges;Improving software quality;Learning new things;Thinking critically;Solving problems;Preventing disaster","I knew other testers which recommended testing to me","Likely","2 - 5 years","Business;Communications;Energy;Finance;Government;Health;Sales","No, my very first job was a testing job.","Foundation course","Yes","No","0","0","0","0","1","0","0","1 month","Yes","No","True","False","False","False","False","False","False","True","False","True","True","True","True","False","False","False","False","False","False","False","True","True","True","True"
"2016/05/04 9:19:28 AM GMT+1","Yes","","","","","","Yes","Unlikely","Unlikely","Overcoming challenges;Improving software quality;Asking questions;Finding defects;Learning new things;Thinking critically;Solving problems;Identifying new problems;Gaining expert knowledge of a product;Working on a variety of different tasks","I wanted to work with technology and computers;It seemed interesting","Likely","10 - 20 years","Finance;Government;Legal","Yes, I had a different job before I started testing","Bachelors degree","No","No","5","0","0","0","3","3","0","3 months","No","No","True","True","False","True","False","False","True","True","False","True","False","False","False","False","True","False","False","True","False","True","True","False","True","False"
"2016/05/04 9:20:24 AM GMT+1","Yes","","","","","","Yes","Very Likely","Not sure","Improving software quality;Asking questions;Learning new things;Thinking critically;Solving problems;Working in a team;Engaging with other testers;Generating new ideas;Helping people","I knew other testers which recommended testing to me;My company was trying to hire testers and I wanted to change my role","Very unlikely","10 - 20 years","Business;Government","Yes, I had a different job before I started testing","Bachelors degree","Yes","No","0","0","0","0","3","3","0","1 month","No","No","True","True","True","False","False","False","True","False","True","True","True","False","True","False","True","True","True","True","False","True","True","True","False","False"
"2016/05/04 9:21:51 AM GMT+1","Yes","","","","","","Yes","Unlikely","Very unlikely","Learning new things;Thinking critically;Solving problems;Assessing and managing risks;Working in a team;Engaging with other testers;Generating new ideas;Helping people;Seeing the big picture;Working on a variety of different tasks;Persuading people","My company was trying to hire testers and I wanted to change my role","Very Likely","10 - 20 years","Finance;Sales;Manufacturing, distribution","Yes, I had a different job before I started testing","A-Levels or equivalent","No","No","0","4","0","0","1","0","0","3 months","No","No","False","True","True","False","False","False","False","True","True","True","False","True","True","True","True","False","False","True","False","True","True","True","True","False"
"2016/05/04 9:25:00 AM GMT+1","Yes","","","","","","Yes","Very unlikely","Very unlikely","Overcoming challenges;Asking questions;Learning new things;Thinking critically;Identifying new problems;Assessing and managing risks;Working in a team;Engaging with other testers;Helping people","I wanted a new challenge;It seemed interesting;I thought testing would be fun","Likely","10 - 20 years","Electronics","Yes, I had a different job before I started testing","Foundation course","No","No","5","4","0","0","0","0","0","3 months","No","No","True","True","False","True","False","False","True","True","False","True","False","True","False","True","True","False","False","True","False","True","True","False","False","False"
"2016/05/04 9:29:08 AM GMT+1","Yes","","","","","","Yes","Unlikely","Unlikely","Overcoming challenges;Improving software quality;Asking questions;Finding defects;Learning new things;Thinking critically;Solving problems;Identifying new problems;Assessing and managing risks;Working in a team;Generating new ideas;Gaining expert knowledge of a product;Helping people;Seeing the big picture;Working on a variety of different tasks;Preventing disaster;Persuading people","I wanted a new challenge;I wanted to work with technology and computers;I was unemployed and needed a job;It seemed interesting;I wanted to work in software development but did not know how to code;I thought testing would be fun","Likely","2 - 5 years","Business;Energy;Finance;Games;Government;Health;Charity, Public Sector","Yes, I had a different job before I started testing","Bachelors degree","No","No","0","0","0","0","0","0","0","1 month","Yes","No","True","True","False","False","True","False","False","True","False","True","True","False","False","True","True","False","False","False","False","True","True","False","False","False"
"2016/05/04 9:30:51 AM GMT+1","Yes","","","","","","Yes","Very Likely","Unlikely","Overcoming challenges;Improving software quality;Asking questions;Finding defects;Learning new things;Thinking critically;Solving problems;Identifying new problems;Assessing and managing risks;Working in a team;Engaging with other testers;Generating new ideas;Gaining expert knowledge of a product;Helping people;Seeing the big picture;Working on a variety of different tasks;Preventing disaster;Persuading people","It seemed interesting;I did not like my previous job;I thought testing would be fun;I thought testing would be better than my previous job","Very Likely","10 - 20 years","Aerospace;Finance;Software Tools","Yes, I had a different job before I started testing","Bachelors degree","Yes","No","5","4","0","0","0","0","0","1 month","Yes","No","False","True","False","False","False","False","False","True","False","True","False","True","True","False","True","False","True","True","False","False","True","True","True","False"
"2016/05/04 9:36:59 AM GMT+1","Yes","","","","","","Yes","Not sure","Very unlikely","Overcoming challenges;Learning new things;Solving problems;Identifying new problems;Engaging with other testers;Helping people;Working on a variety of different tasks","Testing paid a higher salary than my previous job;It seemed interesting;I did not like my previous job","Likely","5 - 10 years","Business;Insurance;Geospatial","Yes, I had a different job before I started testing","A-Levels or equivalent","Yes","No","0","0","0","0","1","0","0","1 month","Yes","No","True","True","False","False","False","False","True","True","False","True","False","True","False","True","True","True","False","True","False","True","True","False","True","False"
"2016/05/04 9:38:04 AM GMT+1","Yes","","","","","","Yes","Unlikely","Very unlikely","Overcoming challenges;Learning new things;Solving problems;Identifying new problems;Helping people","I wanted a new challenge;I wanted to work with technology and computers;Testing paid a higher salary than my previous job;It seemed interesting;I did not like my previous job;I wanted to work in software development but did not know how to code;I knew other testers which recommended testing to me;I thought testing would be fun;I thought testing would be better than my previous job","Likely","less than a year","Learning","Yes, I had a different job before I started testing","Bachelors degree","No","No","0","0","0","0","0","0","0","3 months","No","No","True","True","False","True","False","False","True","True","False","True","True","True","True","True","True","False","False","True","False","True","True","False","True","False"
"2016/05/04 9:39:26 AM GMT+1","Yes","","","","","","Yes","Unlikely","Not sure","Overcoming challenges;Improving software quality;Asking questions;Finding defects;Solving problems;Identifying new problems;Working in a team;Generating new ideas;Helping people;Preventing disaster","I wanted to work with technology and computers;It seemed interesting;I did not like my previous job;I wanted to work in software development but did not know how to code;I thought testing would be fun;I thought testing would be better than my previous job;I studied computing and saw testing as a way to use this knowledge","Very Likely","2 - 5 years","Communications;Electronics;Sales","Yes, I had a different job before I started testing","Bachelors degree","Yes","No","5","0","0","0","0","0","0","3 months","No","No","True","True","True","True","True","False","True","True","False","True","True","True","False","True","True","False","False","False","False","True","True","False","False","False"
"2016/05/04 9:39:42 AM GMT+1","Yes","","","","","","No","Likely","Unlikely","Overcoming challenges;Improving software quality;Asking questions;Finding defects;Learning new things;Thinking critically;Solving problems;Identifying new problems;Working in a team;Engaging with other testers;Helping people;Preventing disaster","Knew how to code but I did not want to work as a developer","Likely","10 - 20 years","network security and social network","Yes, I had a different job before I started testing","Masters degree","Yes","No","0","0","0","0","0","0","0","6 months","Yes","Yes","False","True","True","False","False","False","True","False","True","True","True","False","False","False","False","False","False","True","False","False","True","True","True","False"
"2016/05/04 9:41:55 AM GMT+1","Yes","","","","","","No","Likely","Unlikely","Overcoming challenges;Improving software quality;Finding defects;Thinking critically;Solving problems;Identifying new problems;Working in a team;Engaging with other testers;Gaining expert knowledge of a product","It seemed interesting;I wanted to work in software development but did not know how to code;I thought testing would be fun","Not sure","5 - 10 years","Business;Health","Yes, I had a different job before I started testing","Foundation course","No","No","0","0","0","0","5","5","5","3 months","Yes","Yes","True","True","True","False","True","False","True","False","True","True","False","False","True","False","True","False","True","True","False","True","True","True","True","False"
"2016/05/04 9:42:11 AM GMT+1","Yes","","","","","","No","Unlikely","Unlikely","Learning new things;Solving problems;Assessing and managing risks;Working in a team;Gaining expert knowledge of a product;Helping people","I wanted a new challenge;I wanted to work with technology and computers;I did not like my previous job","Not sure","10 - 20 years","Business;Finance","Yes, I had a different job before I started testing","GCSEs or equivalent","Yes","No","1","0","0","0","5","0","0","3 months","Yes","No","False","False","True","False","False","False","False","False","True","True","False","False","True","False","False","True","False","True","True","False","False","True","True","True"
"2016/05/04 9:50:15 AM GMT+1","Yes","","","","","","Yes","Unlikely","Very unlikely","Overcoming challenges;Improving software quality;Learning new things;Thinking critically;Solving problems;Identifying new problems;Working in a team;Engaging with other testers;Generating new ideas;Helping people;Seeing the big picture;Working on a variety of different tasks","I wanted to work with technology and computers;I was unemployed and needed a job;It seemed interesting","Likely","10 - 20 years","Business;Communications;Electronics;Finance;Government;Agriculture and Education","Yes, I had a different job before I started testing","Bachelors degree","Yes","Yes","0","0","0","0","2","0","0","3 months","Yes","No","True","True","False","False","False","False","False","True","False","True","False","True","False","True","True","False","False","False","False","False","True","False","True","False"
"2016/05/04 9:55:39 AM GMT+1","Yes","","","","","","Yes","Unlikely","Very unlikely","Overcoming challenges;Asking questions;Finding defects;Learning new things;Thinking critically;Solving problems;Identifying new problems;Working in a team;Engaging with other testers;Generating new ideas;Gaining expert knowledge of a product;Helping people;Seeing the big picture;Working on a variety of different tasks","It seemed interesting;I thought testing would be fun;I thought testing had good career prospects and progression","Likely","5 - 10 years","Finance;security","Yes, I had a different job before I started testing","A-Levels or equivalent","No","No","0","0","0","0","2","1","0","2 years","Yes","No","True","True","False","True","False","False","True","True","False","False","False","True","False","True","True","True","True","True","False","True","True","False","True","False"
"2016/05/04 10:01:48 AM GMT+1","Yes","","","","","","No","Very Likely","Very unlikely","Improving software quality;Asking questions;Finding defects;Learning new things;Thinking critically;Identifying new problems;Working in a team;Gaining expert knowledge of a product;Helping people;Seeing the big picture;Persuading people","I was unemployed and needed a job;I wanted to work in software development but did not know how to code;I applied because the job advert stated no experience necessary","Very Likely","2 - 5 years","Finance","No, my very first job was a testing job.","Bachelors degree","Yes","Yes","0","0","0","0","0","0","0","1 month","Yes","No","True","True","True","True","True","False","True","False","False","False","False","True","True","True","False","False","False","False","False","True","True","False","True","False"
"2016/05/04 10:08:01 AM GMT+1","Yes","","","","","","No","Very Likely","Very unlikely","Improving software quality;Asking questions;Finding defects;Learning new things;Thinking critically;Identifying new problems;Working in a team;Engaging with other testers;Gaining expert knowledge of a product;Helping people;Seeing the big picture;Persuading people","I was unemployed and needed a job;I wanted to work in software development but did not know how to code","Very Likely","2 - 5 years","Finance","No, my very first job was a testing job.","Bachelors degree","Yes","Yes","0","0","0","0","0","0","0","1 month","Yes","No","True","True","False","True","True","False","True","False","False","False","False","True","False","True","False","False","False","True","False","True","False","False","True","False"
"2016/05/04 10:12:25 AM GMT+1","Yes","","","","","","Yes","Very unlikely","Very unlikely","Overcoming challenges;Asking questions;Learning new things;Solving problems;Working in a team;Engaging with other testers;Helping people;Preventing disaster","I wanted to work with technology and computers;Knew how to code but I did not want to work as a developer","Likely","2 - 5 years","Sales","Yes, I had a different job before I started testing","Bachelors degree","Yes","No","0","0","0","0","0","0","0","3 months","No","No","True","True","True","False","False","False","True","True","False","True","True","True","True","True","True","False","True","False","False","True","True","False","True","False"
"2016/05/04 10:13:30 AM GMT+1","Yes","","","","","","Yes","Not sure","Very unlikely","Overcoming challenges;Improving software quality;Finding defects;Thinking critically;Solving problems;Working in a team;Gaining expert knowledge of a product;Helping people","I wanted a new challenge;Testing paid a higher salary than my previous job;It seemed interesting;I did not like my previous job","Likely","5 - 10 years","Energy","Yes, I had a different job before I started testing","Bachelors degree","Yes","No","0","0","0","0","5","0","0","3 months","Yes","Yes","True","True","False","False","True","False","True","True","False","True","False","True","True","False","True","True","False","True","False","True","True","False","True","False"
"2016/05/04 10:15:33 AM GMT+1","Yes","","","","","","Yes","Very Likely","Very unlikely","Overcoming challenges;Asking questions;Finding defects;Learning new things;Thinking critically;Solving problems;Identifying new problems;Assessing and managing risks;Working in a team;Engaging with other testers;Generating new ideas;Gaining expert knowledge of a product;Helping people;Persuading people","I thought testing had good career prospects and progression","Likely","5 - 10 years","Business;Communications;Finance;Government;Health;Legal;Social Media","No, my very first job was a testing job.","Masters degree","No","No","5","0","0","0","3","1","0","1 month","Yes","No","True","True","False","True","False","False","True","True","False","True","False","False","False","True","True","False","False","True","False","False","True","True","False","False"
"2016/05/04 10:24:00 AM GMT+1","Yes","","","","","","Yes","Very Likely","Very unlikely","Learning new things;Thinking critically;Identifying new problems;Working in a team;Engaging with other testers;Seeing the big picture","I knew other testers which recommended testing to me","Likely","2 - 5 years","Communications;Games;Scientific","Yes, I had a different job before I started testing","Masters degree","No","No","0","0","0","0","0","0","0","1 month","Yes","No","True","True","False","True","False","False","False","True","False","True","True","False","False","False","True","False","False","False","False","True","True","False","True","False"
"2016/05/04 10:27:32 AM GMT+1","Yes","","","","","","No","Likely","Very unlikely","Overcoming challenges;Asking questions;Finding defects;Learning new things;Thinking critically;Solving problems;Identifying new problems;Working in a team;Engaging with other testers;Generating new ideas;Gaining expert knowledge of a product;Helping people;Seeing the big picture;Working on a variety of different tasks","I wanted a new challenge;I wanted to work with technology and computers;Testing paid a higher salary than my previous job;It seemed interesting;I did not like my previous job;I thought testing would be fun;I thought testing would be better than my previous job;I thought testing had good career prospects and progression;My company was trying to hire testers and I wanted to change my role","Very Likely","5 - 10 years","Business;Finance","Yes, I had a different job before I started testing","GCSEs or equivalent","No","No","0","0","0","0","3","0","0","1 month","Yes","No","True","True","False","True","False","False","True","True","False","True","True","True","False","False","False","False","False","False","False","True","True","False","False","False"
"2016/05/04 10:28:27 AM GMT+1","Yes","","","","","","Yes","Unlikely","Very unlikely","Finding defects;Learning new things;Thinking critically;Generating new ideas;Gaining expert knowledge of a product;Seeing the big picture","I was unemployed and needed a job;It seemed interesting","Likely","5 - 10 years","Communications;Finance","No, my very first job was a testing job.","Masters degree","Yes","No","3","0","0","0","0","0","0","1 month","No","No","True","True","False","True","False","True","False","True","False","True","True","False","False","True","True","False","False","False","False","True","True","False","False","False"
"2016/05/04 10:30:24 AM GMT+1","Yes","","","","","","Yes","Very unlikely","Very unlikely","Overcoming challenges;Improving software quality;Asking questions;Finding defects;Learning new things;Prioritising tasks;Thinking critically;Solving problems;Identifying new problems;Assessing and managing risks;Working in a team;Engaging with other testers;Generating new ideas;Gaining expert knowledge of a product;Helping people;Seeing the big picture;Working on a variety of different tasks;Preventing disaster;Persuading people;Being an explorer.","I wanted to work with technology and computers;It seemed interesting;Knew how to code but I did not want to work as a developer;I knew other testers which recommended testing to me;I thought testing would be fun;I studied computing and saw testing as a way to use this knowledge","Very Likely","5 - 10 years","Automotive;Business;Communications;Electronics;Games;Social Media","Yes, I had a different job before I started testing","Foundation course","Yes","Yes","0","0","0","0","2","0","0","3 months","No","No","True","True","False","True","False","False","True","True","False","True","False","True","False","True","True","False","False","False","False","True","True","False","False","False"
"2016/05/04 10:31:48 AM GMT+1","Yes","","","","","","Yes","Likely","Very unlikely","Overcoming challenges;Improving software quality;Finding defects;Learning new things;Thinking critically;Solving problems;Identifying new problems;Generating new ideas;Working on a variety of different tasks","I was unemployed and needed a job;It seemed interesting;I knew other testers which recommended testing to me;I thought testing would be fun;I thought testing would be easy","Not sure","10 - 20 years","Business;Games","No, my very first job was a testing job.","None","","","0","0","0","0","1","0","0","6 months","Yes","No","True","True","True","False","False","False","True","True","False","True","False","False","False","True","True","False","False","True","False","True","False","False","False","False"
"2016/05/04 10:32:25 AM GMT+1","Yes","","","","","","Yes","Not sure","Likely","Finding defects;Learning new things;Identifying new problems;Working in a team","Testing paid a higher salary than my previous job;It seemed interesting;I did not like my previous job;I wanted to work in software development but did not know how to code;I knew other testers which recommended testing to me;I thought testing would be fun;I thought testing would be better than my previous job;My company was trying to hire testers and I wanted to change my role","Likely","less than a year","Pharmaceutical","Yes, I had a different job before I started testing","A-Levels or equivalent","No","No","0","0","0","0","0","0","0","3 months","Yes","Yes","True","True","False","True","False","False","True","True","False","True","True","False","False","False","True","False","False","False","False","True","True","False","True","False"
"2016/05/04 10:33:26 AM GMT+1","Yes","","","","","","No","Likely","Unlikely","Overcoming challenges;Improving software quality;Asking questions;Finding defects;Learning new things;Prioritising tasks;Thinking critically;Solving problems;Identifying new problems;Assessing and managing risks;Working in a team;Engaging with other testers;Generating new ideas;Gaining expert knowledge of a product;Helping people;Seeing the big picture;Working on a variety of different tasks","I wanted to work with technology and computers;I was unemployed and needed a job;I wanted to work in software development but did not know how to code","Likely","2 - 5 years","Business;Electronics;Scientific","No, my very first job was a testing job.","Bachelors degree","Yes","No","0","0","0","0","0","0","0","2 years","Yes","Yes","True","True","True","False","True","True","False","False","True","True","False","True","True","True","True","True","True","True","True","False","False","True","True","True"
